model_col,series_code,unit,freq,description,tags
baker_unitedstates_miscellaneous_horizontal_other,baker.united states.miscellaneous.horizontal.other,unknown,unknown,,[]
baker_unitedstates_miscellaneous_horizontal_permian,baker.united states.miscellaneous.horizontal.permian,unknown,unknown,,[]
baker_unitedstates_miscellaneous_horizontal_utica,baker.united states.miscellaneous.horizontal.utica,unknown,unknown,,[]
baker_unitedstates_miscellaneous_horizontal_williston,baker.united states.miscellaneous.horizontal.williston,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_eagle_ford,baker.united states.miscellaneous.vertical.eagle_ford,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_haynesville,baker.united states.miscellaneous.vertical.haynesville,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_marcellus,baker.united states.miscellaneous.vertical.marcellus,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_other,baker.united states.miscellaneous.vertical.other,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_permian,baker.united states.miscellaneous.vertical.permian,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_utica,baker.united states.miscellaneous.vertical.utica,unknown,unknown,,[]
baker_unitedstates_miscellaneous_vertical_williston,baker.united states.miscellaneous.vertical.williston,unknown,unknown,,[]
baker_unitedstates_oil_directional_ardmore_woodford,baker.united states.oil.directional.ardmore_woodford,unknown,unknown,,[]
baker_unitedstates_oil_directional_arkoma_woodford,baker.united states.oil.directional.arkoma_woodford,unknown,unknown,,[]
baker_unitedstates_oil_directional_barnett,baker.united states.oil.directional.barnett,unknown,unknown,,[]
baker_unitedstates_oil_directional_cana_woodford,baker.united states.oil.directional.cana_woodford,unknown,unknown,,[]
baker_unitedstates_oil_directional_dj_niobrara,baker.united states.oil.directional.dj-niobrara,unknown,unknown,,[]
baker_unitedstates_oil_directional_eagle_ford,baker.united states.oil.directional.eagle_ford,unknown,unknown,,[]
baker_unitedstates_oil_directional_granite_wash,baker.united states.oil.directional.granite_wash,unknown,unknown,,[]
baker_unitedstates_oil_directional_haynesville,baker.united states.oil.directional.haynesville,unknown,unknown,,[]
baker_unitedstates_oil_directional_marcellus,baker.united states.oil.directional.marcellus,unknown,unknown,,[]
baker_unitedstates_oil_directional_mississippian,baker.united states.oil.directional.mississippian,unknown,unknown,,[]
baker_unitedstates_oil_directional_other,baker.united states.oil.directional.other,unknown,unknown,,[]
baker_unitedstates_oil_directional_permian,baker.united states.oil.directional.permian,unknown,unknown,,[]
baker_unitedstates_oil_directional_utica,baker.united states.oil.directional.utica,unknown,unknown,,[]
baker_unitedstates_oil_directional_williston,baker.united states.oil.directional.williston,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_ardmore_woodford,baker.united states.oil.horizontal.ardmore_woodford,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_arkoma_woodford,baker.united states.oil.horizontal.arkoma_woodford,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_barnett,baker.united states.oil.horizontal.barnett,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_cana_woodford,baker.united states.oil.horizontal.cana_woodford,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_dj_niobrara,baker.united states.oil.horizontal.dj-niobrara,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_eagle_ford,baker.united states.oil.horizontal.eagle_ford,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_granite_wash,baker.united states.oil.horizontal.granite_wash,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_haynesville,baker.united states.oil.horizontal.haynesville,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_marcellus,baker.united states.oil.horizontal.marcellus,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_mississippian,baker.united states.oil.horizontal.mississippian,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_other,baker.united states.oil.horizontal.other,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_permian,baker.united states.oil.horizontal.permian,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_utica,baker.united states.oil.horizontal.utica,unknown,unknown,,[]
baker_unitedstates_oil_horizontal_williston,baker.united states.oil.horizontal.williston,unknown,unknown,,[]
baker_unitedstates_oil_other_other,baker.united states.oil.other.other,unknown,unknown,,[]
baker_unitedstates_oil_other_permian,baker.united states.oil.other.permian,unknown,unknown,,[]
baker_unitedstates_oil_vertical_ardmore_woodford,baker.united states.oil.vertical.ardmore_woodford,unknown,unknown,,[]
baker_unitedstates_oil_vertical_arkoma_woodford,baker.united states.oil.vertical.arkoma_woodford,unknown,unknown,,[]
baker_unitedstates_oil_vertical_barnett,baker.united states.oil.vertical.barnett,unknown,unknown,,[]
baker_unitedstates_oil_vertical_cana_woodford,baker.united states.oil.vertical.cana_woodford,unknown,unknown,,[]
baker_unitedstates_oil_vertical_dj_niobrara,baker.united states.oil.vertical.dj-niobrara,unknown,unknown,,[]
baker_unitedstates_oil_vertical_eagle_ford,baker.united states.oil.vertical.eagle_ford,unknown,unknown,,[]
baker_unitedstates_oil_vertical_fayetteville,baker.united states.oil.vertical.fayetteville,unknown,unknown,,[]
baker_unitedstates_oil_vertical_granite_wash,baker.united states.oil.vertical.granite_wash,unknown,unknown,,[]
baker_unitedstates_oil_vertical_haynesville,baker.united states.oil.vertical.haynesville,unknown,unknown,,[]
baker_unitedstates_oil_vertical_marcellus,baker.united states.oil.vertical.marcellus,unknown,unknown,,[]
baker_unitedstates_oil_vertical_mississippian,baker.united states.oil.vertical.mississippian,unknown,unknown,,[]
baker_unitedstates_oil_vertical_other,baker.united states.oil.vertical.other,unknown,unknown,,[]
baker_unitedstates_oil_vertical_permian,baker.united states.oil.vertical.permian,unknown,unknown,,[]
baker_unitedstates_oil_vertical_utica,baker.united states.oil.vertical.utica,unknown,unknown,,[]
baker_unitedstates_oil_vertical_williston,baker.united states.oil.vertical.williston,unknown,unknown,,[]
google_mobility_united_states_alabama_grocery,google_mobility.united_states.alabama.grocery,unknown,unknown,,[]
google_mobility_united_states_alabama_parks,google_mobility.united_states.alabama.parks,unknown,unknown,,[]
google_mobility_united_states_alabama_residential,google_mobility.united_states.alabama.residential,unknown,unknown,,[]
google_mobility_united_states_alabama_retail,google_mobility.united_states.alabama.retail,unknown,unknown,,[]
google_mobility_united_states_alabama_transit,google_mobility.united_states.alabama.transit,unknown,unknown,,[]
google_mobility_united_states_alabama_work,google_mobility.united_states.alabama.work,unknown,unknown,,[]
google_mobility_united_states_alaska_grocery,google_mobility.united_states.alaska.grocery,unknown,unknown,,[]
google_mobility_united_states_alaska_parks,google_mobility.united_states.alaska.parks,unknown,unknown,,[]
google_mobility_united_states_alaska_residential,google_mobility.united_states.alaska.residential,unknown,unknown,,[]
google_mobility_united_states_alaska_retail,google_mobility.united_states.alaska.retail,unknown,unknown,,[]
google_mobility_united_states_alaska_transit,google_mobility.united_states.alaska.transit,unknown,unknown,,[]
google_mobility_united_states_alaska_work,google_mobility.united_states.alaska.work,unknown,unknown,,[]
google_mobility_united_states_arizona_grocery,google_mobility.united_states.arizona.grocery,unknown,unknown,,[]
google_mobility_united_states_arizona_parks,google_mobility.united_states.arizona.parks,unknown,unknown,,[]
google_mobility_united_states_arizona_residential,google_mobility.united_states.arizona.residential,unknown,unknown,,[]
google_mobility_united_states_arizona_retail,google_mobility.united_states.arizona.retail,unknown,unknown,,[]
google_mobility_united_states_arizona_transit,google_mobility.united_states.arizona.transit,unknown,unknown,,[]
google_mobility_united_states_arizona_work,google_mobility.united_states.arizona.work,unknown,unknown,,[]
google_mobility_united_states_arkansas_grocery,google_mobility.united_states.arkansas.grocery,unknown,unknown,,[]
google_mobility_united_states_arkansas_parks,google_mobility.united_states.arkansas.parks,unknown,unknown,,[]
google_mobility_united_states_arkansas_residential,google_mobility.united_states.arkansas.residential,unknown,unknown,,[]
google_mobility_united_states_arkansas_retail,google_mobility.united_states.arkansas.retail,unknown,unknown,,[]
google_mobility_united_states_arkansas_transit,google_mobility.united_states.arkansas.transit,unknown,unknown,,[]
google_mobility_united_states_arkansas_work,google_mobility.united_states.arkansas.work,unknown,unknown,,[]
google_mobility_united_states_california_grocery,google_mobility.united_states.california.grocery,unknown,unknown,,[]
google_mobility_united_states_california_parks,google_mobility.united_states.california.parks,unknown,unknown,,[]
google_mobility_united_states_california_residential,google_mobility.united_states.california.residential,unknown,unknown,,[]
google_mobility_united_states_california_retail,google_mobility.united_states.california.retail,unknown,unknown,,[]
google_mobility_united_states_california_transit,google_mobility.united_states.california.transit,unknown,unknown,,[]
google_mobility_united_states_california_work,google_mobility.united_states.california.work,unknown,unknown,,[]
google_mobility_united_states_colorado_grocery,google_mobility.united_states.colorado.grocery,unknown,unknown,,[]
google_mobility_united_states_colorado_parks,google_mobility.united_states.colorado.parks,unknown,unknown,,[]
google_mobility_united_states_colorado_residential,google_mobility.united_states.colorado.residential,unknown,unknown,,[]
google_mobility_united_states_colorado_retail,google_mobility.united_states.colorado.retail,unknown,unknown,,[]
google_mobility_united_states_colorado_transit,google_mobility.united_states.colorado.transit,unknown,unknown,,[]
google_mobility_united_states_colorado_work,google_mobility.united_states.colorado.work,unknown,unknown,,[]
google_mobility_united_states_connecticut_grocery,google_mobility.united_states.connecticut.grocery,unknown,unknown,,[]
google_mobility_united_states_connecticut_parks,google_mobility.united_states.connecticut.parks,unknown,unknown,,[]
google_mobility_united_states_connecticut_residential,google_mobility.united_states.connecticut.residential,unknown,unknown,,[]
google_mobility_united_states_connecticut_retail,google_mobility.united_states.connecticut.retail,unknown,unknown,,[]
google_mobility_united_states_connecticut_transit,google_mobility.united_states.connecticut.transit,unknown,unknown,,[]
google_mobility_united_states_connecticut_work,google_mobility.united_states.connecticut.work,unknown,unknown,,[]
google_mobility_united_states_delaware_grocery,google_mobility.united_states.delaware.grocery,unknown,unknown,,[]
google_mobility_united_states_delaware_parks,google_mobility.united_states.delaware.parks,unknown,unknown,,[]
google_mobility_united_states_delaware_residential,google_mobility.united_states.delaware.residential,unknown,unknown,,[]
google_mobility_united_states_delaware_retail,google_mobility.united_states.delaware.retail,unknown,unknown,,[]
google_mobility_united_states_delaware_transit,google_mobility.united_states.delaware.transit,unknown,unknown,,[]
google_mobility_united_states_delaware_work,google_mobility.united_states.delaware.work,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_grocery,google_mobility.united_states.district_of_columbia.grocery,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_parks,google_mobility.united_states.district_of_columbia.parks,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_residential,google_mobility.united_states.district_of_columbia.residential,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_retail,google_mobility.united_states.district_of_columbia.retail,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_transit,google_mobility.united_states.district_of_columbia.transit,unknown,unknown,,[]
google_mobility_united_states_district_of_columbia_work,google_mobility.united_states.district_of_columbia.work,unknown,unknown,,[]
google_mobility_united_states_florida_grocery,google_mobility.united_states.florida.grocery,unknown,unknown,,[]
google_mobility_united_states_florida_parks,google_mobility.united_states.florida.parks,unknown,unknown,,[]
google_mobility_united_states_florida_residential,google_mobility.united_states.florida.residential,unknown,unknown,,[]
google_mobility_united_states_florida_retail,google_mobility.united_states.florida.retail,unknown,unknown,,[]
google_mobility_united_states_florida_transit,google_mobility.united_states.florida.transit,unknown,unknown,,[]
google_mobility_united_states_florida_work,google_mobility.united_states.florida.work,unknown,unknown,,[]
google_mobility_united_states_georgia_grocery,google_mobility.united_states.georgia.grocery,unknown,unknown,,[]
google_mobility_united_states_georgia_parks,google_mobility.united_states.georgia.parks,unknown,unknown,,[]
google_mobility_united_states_georgia_residential,google_mobility.united_states.georgia.residential,unknown,unknown,,[]
google_mobility_united_states_georgia_retail,google_mobility.united_states.georgia.retail,unknown,unknown,,[]
google_mobility_united_states_georgia_transit,google_mobility.united_states.georgia.transit,unknown,unknown,,[]
google_mobility_united_states_georgia_work,google_mobility.united_states.georgia.work,unknown,unknown,,[]
google_mobility_united_states_grocery,google_mobility.united_states.grocery,unknown,unknown,,[]
google_mobility_united_states_hawaii_grocery,google_mobility.united_states.hawaii.grocery,unknown,unknown,,[]
google_mobility_united_states_hawaii_parks,google_mobility.united_states.hawaii.parks,unknown,unknown,,[]
google_mobility_united_states_hawaii_residential,google_mobility.united_states.hawaii.residential,unknown,unknown,,[]
google_mobility_united_states_hawaii_retail,google_mobility.united_states.hawaii.retail,unknown,unknown,,[]
google_mobility_united_states_hawaii_transit,google_mobility.united_states.hawaii.transit,unknown,unknown,,[]
google_mobility_united_states_hawaii_work,google_mobility.united_states.hawaii.work,unknown,unknown,,[]
google_mobility_united_states_idaho_grocery,google_mobility.united_states.idaho.grocery,unknown,unknown,,[]
google_mobility_united_states_idaho_parks,google_mobility.united_states.idaho.parks,unknown,unknown,,[]
google_mobility_united_states_idaho_residential,google_mobility.united_states.idaho.residential,unknown,unknown,,[]
google_mobility_united_states_idaho_retail,google_mobility.united_states.idaho.retail,unknown,unknown,,[]
google_mobility_united_states_idaho_transit,google_mobility.united_states.idaho.transit,unknown,unknown,,[]
google_mobility_united_states_idaho_work,google_mobility.united_states.idaho.work,unknown,unknown,,[]
google_mobility_united_states_illinois_grocery,google_mobility.united_states.illinois.grocery,unknown,unknown,,[]
google_mobility_united_states_illinois_parks,google_mobility.united_states.illinois.parks,unknown,unknown,,[]
google_mobility_united_states_illinois_residential,google_mobility.united_states.illinois.residential,unknown,unknown,,[]
google_mobility_united_states_illinois_retail,google_mobility.united_states.illinois.retail,unknown,unknown,,[]
google_mobility_united_states_illinois_transit,google_mobility.united_states.illinois.transit,unknown,unknown,,[]
google_mobility_united_states_illinois_work,google_mobility.united_states.illinois.work,unknown,unknown,,[]
google_mobility_united_states_indiana_grocery,google_mobility.united_states.indiana.grocery,unknown,unknown,,[]
google_mobility_united_states_indiana_parks,google_mobility.united_states.indiana.parks,unknown,unknown,,[]
google_mobility_united_states_indiana_residential,google_mobility.united_states.indiana.residential,unknown,unknown,,[]
google_mobility_united_states_indiana_retail,google_mobility.united_states.indiana.retail,unknown,unknown,,[]
google_mobility_united_states_indiana_transit,google_mobility.united_states.indiana.transit,unknown,unknown,,[]
google_mobility_united_states_indiana_work,google_mobility.united_states.indiana.work,unknown,unknown,,[]
google_mobility_united_states_iowa_grocery,google_mobility.united_states.iowa.grocery,unknown,unknown,,[]
google_mobility_united_states_iowa_parks,google_mobility.united_states.iowa.parks,unknown,unknown,,[]
google_mobility_united_states_iowa_residential,google_mobility.united_states.iowa.residential,unknown,unknown,,[]
google_mobility_united_states_iowa_retail,google_mobility.united_states.iowa.retail,unknown,unknown,,[]
google_mobility_united_states_iowa_transit,google_mobility.united_states.iowa.transit,unknown,unknown,,[]
google_mobility_united_states_iowa_work,google_mobility.united_states.iowa.work,unknown,unknown,,[]
google_mobility_united_states_kansas_grocery,google_mobility.united_states.kansas.grocery,unknown,unknown,,[]
google_mobility_united_states_kansas_parks,google_mobility.united_states.kansas.parks,unknown,unknown,,[]
google_mobility_united_states_kansas_residential,google_mobility.united_states.kansas.residential,unknown,unknown,,[]
google_mobility_united_states_kansas_retail,google_mobility.united_states.kansas.retail,unknown,unknown,,[]
google_mobility_united_states_kansas_transit,google_mobility.united_states.kansas.transit,unknown,unknown,,[]
google_mobility_united_states_kansas_work,google_mobility.united_states.kansas.work,unknown,unknown,,[]
google_mobility_united_states_kentucky_grocery,google_mobility.united_states.kentucky.grocery,unknown,unknown,,[]
google_mobility_united_states_kentucky_parks,google_mobility.united_states.kentucky.parks,unknown,unknown,,[]
google_mobility_united_states_kentucky_residential,google_mobility.united_states.kentucky.residential,unknown,unknown,,[]
google_mobility_united_states_kentucky_retail,google_mobility.united_states.kentucky.retail,unknown,unknown,,[]
google_mobility_united_states_kentucky_transit,google_mobility.united_states.kentucky.transit,unknown,unknown,,[]
google_mobility_united_states_kentucky_work,google_mobility.united_states.kentucky.work,unknown,unknown,,[]
google_mobility_united_states_louisiana_grocery,google_mobility.united_states.louisiana.grocery,unknown,unknown,,[]
google_mobility_united_states_louisiana_parks,google_mobility.united_states.louisiana.parks,unknown,unknown,,[]
google_mobility_united_states_louisiana_residential,google_mobility.united_states.louisiana.residential,unknown,unknown,,[]
google_mobility_united_states_louisiana_retail,google_mobility.united_states.louisiana.retail,unknown,unknown,,[]
google_mobility_united_states_louisiana_transit,google_mobility.united_states.louisiana.transit,unknown,unknown,,[]
google_mobility_united_states_louisiana_work,google_mobility.united_states.louisiana.work,unknown,unknown,,[]
google_mobility_united_states_maine_grocery,google_mobility.united_states.maine.grocery,unknown,unknown,,[]
google_mobility_united_states_maine_parks,google_mobility.united_states.maine.parks,unknown,unknown,,[]
google_mobility_united_states_maine_residential,google_mobility.united_states.maine.residential,unknown,unknown,,[]
google_mobility_united_states_maine_retail,google_mobility.united_states.maine.retail,unknown,unknown,,[]
google_mobility_united_states_maine_transit,google_mobility.united_states.maine.transit,unknown,unknown,,[]
google_mobility_united_states_maine_work,google_mobility.united_states.maine.work,unknown,unknown,,[]
google_mobility_united_states_maryland_grocery,google_mobility.united_states.maryland.grocery,unknown,unknown,,[]
google_mobility_united_states_maryland_parks,google_mobility.united_states.maryland.parks,unknown,unknown,,[]
google_mobility_united_states_maryland_residential,google_mobility.united_states.maryland.residential,unknown,unknown,,[]
google_mobility_united_states_maryland_retail,google_mobility.united_states.maryland.retail,unknown,unknown,,[]
google_mobility_united_states_maryland_transit,google_mobility.united_states.maryland.transit,unknown,unknown,,[]
google_mobility_united_states_maryland_work,google_mobility.united_states.maryland.work,unknown,unknown,,[]
google_mobility_united_states_massachusetts_grocery,google_mobility.united_states.massachusetts.grocery,unknown,unknown,,[]
google_mobility_united_states_massachusetts_parks,google_mobility.united_states.massachusetts.parks,unknown,unknown,,[]
google_mobility_united_states_massachusetts_residential,google_mobility.united_states.massachusetts.residential,unknown,unknown,,[]
google_mobility_united_states_massachusetts_retail,google_mobility.united_states.massachusetts.retail,unknown,unknown,,[]
google_mobility_united_states_massachusetts_transit,google_mobility.united_states.massachusetts.transit,unknown,unknown,,[]
google_mobility_united_states_massachusetts_work,google_mobility.united_states.massachusetts.work,unknown,unknown,,[]
google_mobility_united_states_michigan_grocery,google_mobility.united_states.michigan.grocery,unknown,unknown,,[]
google_mobility_united_states_michigan_parks,google_mobility.united_states.michigan.parks,unknown,unknown,,[]
google_mobility_united_states_michigan_residential,google_mobility.united_states.michigan.residential,unknown,unknown,,[]
google_mobility_united_states_michigan_retail,google_mobility.united_states.michigan.retail,unknown,unknown,,[]
google_mobility_united_states_michigan_transit,google_mobility.united_states.michigan.transit,unknown,unknown,,[]
google_mobility_united_states_michigan_work,google_mobility.united_states.michigan.work,unknown,unknown,,[]
google_mobility_united_states_minnesota_grocery,google_mobility.united_states.minnesota.grocery,unknown,unknown,,[]
google_mobility_united_states_minnesota_parks,google_mobility.united_states.minnesota.parks,unknown,unknown,,[]
google_mobility_united_states_minnesota_residential,google_mobility.united_states.minnesota.residential,unknown,unknown,,[]
google_mobility_united_states_minnesota_retail,google_mobility.united_states.minnesota.retail,unknown,unknown,,[]
google_mobility_united_states_minnesota_transit,google_mobility.united_states.minnesota.transit,unknown,unknown,,[]
google_mobility_united_states_minnesota_work,google_mobility.united_states.minnesota.work,unknown,unknown,,[]
google_mobility_united_states_mississippi_grocery,google_mobility.united_states.mississippi.grocery,unknown,unknown,,[]
google_mobility_united_states_mississippi_parks,google_mobility.united_states.mississippi.parks,unknown,unknown,,[]
google_mobility_united_states_mississippi_residential,google_mobility.united_states.mississippi.residential,unknown,unknown,,[]
google_mobility_united_states_mississippi_retail,google_mobility.united_states.mississippi.retail,unknown,unknown,,[]
google_mobility_united_states_mississippi_transit,google_mobility.united_states.mississippi.transit,unknown,unknown,,[]
google_mobility_united_states_mississippi_work,google_mobility.united_states.mississippi.work,unknown,unknown,,[]
google_mobility_united_states_missouri_grocery,google_mobility.united_states.missouri.grocery,unknown,unknown,,[]
google_mobility_united_states_missouri_parks,google_mobility.united_states.missouri.parks,unknown,unknown,,[]
google_mobility_united_states_missouri_residential,google_mobility.united_states.missouri.residential,unknown,unknown,,[]
google_mobility_united_states_missouri_retail,google_mobility.united_states.missouri.retail,unknown,unknown,,[]
google_mobility_united_states_missouri_transit,google_mobility.united_states.missouri.transit,unknown,unknown,,[]
google_mobility_united_states_missouri_work,google_mobility.united_states.missouri.work,unknown,unknown,,[]
google_mobility_united_states_montana_grocery,google_mobility.united_states.montana.grocery,unknown,unknown,,[]
google_mobility_united_states_montana_parks,google_mobility.united_states.montana.parks,unknown,unknown,,[]
google_mobility_united_states_montana_residential,google_mobility.united_states.montana.residential,unknown,unknown,,[]
google_mobility_united_states_montana_retail,google_mobility.united_states.montana.retail,unknown,unknown,,[]
google_mobility_united_states_montana_transit,google_mobility.united_states.montana.transit,unknown,unknown,,[]
google_mobility_united_states_montana_work,google_mobility.united_states.montana.work,unknown,unknown,,[]
google_mobility_united_states_nebraska_grocery,google_mobility.united_states.nebraska.grocery,unknown,unknown,,[]
google_mobility_united_states_nebraska_parks,google_mobility.united_states.nebraska.parks,unknown,unknown,,[]
google_mobility_united_states_nebraska_residential,google_mobility.united_states.nebraska.residential,unknown,unknown,,[]
google_mobility_united_states_nebraska_retail,google_mobility.united_states.nebraska.retail,unknown,unknown,,[]
