model_col,series_code,unit,freq,description,tags,aliases
doc_ngls_production_1qcy,opec.t11_1.doc_ngls_production_1qcy,million_barrels_per_day,monthly,DoC NGLs production forecast 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_2qcy,opec.t11_1.doc_ngls_production_2qcy,million_barrels_per_day,monthly,DoC NGLs production forecast 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_3qcy,opec.t11_1.doc_ngls_production_3qcy,million_barrels_per_day,monthly,DoC NGLs production forecast 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_4qcy,opec.t11_1.doc_ngls_production_4qcy,million_barrels_per_day,monthly,DoC NGLs production forecast 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_1qny,opec.t11_1.doc_ngls_production_1qny,million_barrels_per_day,monthly,DoC NGLs production forecast 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_2qny,opec.t11_1.doc_ngls_production_2qny,million_barrels_per_day,monthly,DoC NGLs production forecast 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_3qny,opec.t11_1.doc_ngls_production_3qny,million_barrels_per_day,monthly,DoC NGLs production forecast 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_ngls_production_4qny,opec.t11_1.doc_ngls_production_4qny,million_barrels_per_day,monthly,DoC NGLs production forecast 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_1qcy,opec.t11_1.total_non_doc_plus_ngls_1qcy,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_2qcy,opec.t11_1.total_non_doc_plus_ngls_2qcy,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_3qcy,opec.t11_1.total_non_doc_plus_ngls_3qcy,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_4qcy,opec.t11_1.total_non_doc_plus_ngls_4qcy,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_1qny,opec.t11_1.total_non_doc_plus_ngls_1qny,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_2qny,opec.t11_1.total_non_doc_plus_ngls_2qny,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_3qny,opec.t11_1.total_non_doc_plus_ngls_3qny,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_non_doc_plus_ngls_4qny,opec.t11_1.total_non_doc_plus_ngls_4qny,million_barrels_per_day,monthly,Total Non-DoC liquids plus DoC NGLs 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_1qcy,opec.t11_1.opec_crude_production_1qcy,million_barrels_per_day,monthly,OPEC crude oil production 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_2qcy,opec.t11_1.opec_crude_production_2qcy,million_barrels_per_day,monthly,OPEC crude oil production 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_3qcy,opec.t11_1.opec_crude_production_3qcy,million_barrels_per_day,monthly,OPEC crude oil production 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_4qcy,opec.t11_1.opec_crude_production_4qcy,million_barrels_per_day,monthly,OPEC crude oil production 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_1qny,opec.t11_1.opec_crude_production_1qny,million_barrels_per_day,monthly,OPEC crude oil production 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_2qny,opec.t11_1.opec_crude_production_2qny,million_barrels_per_day,monthly,OPEC crude oil production 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_3qny,opec.t11_1.opec_crude_production_3qny,million_barrels_per_day,monthly,OPEC crude oil production 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
opec_crude_production_4qny,opec.t11_1.opec_crude_production_4qny,million_barrels_per_day,monthly,OPEC crude oil production 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
